client_name,client_version_from,client_version_to,release_order,num_commits,insertions,deletions,lines,files,self_driven_sdr
bcrypt,0.5.0,0.6.0,13,19,79,54,133,20,FALSE
bcrypt,0.6.0,0.7.0,14,7,63,31,94,13,FALSE
bcrypt,0.7.0,0.7.1,15,9,172,75,247,15,FALSE
bcrypt,0.7.1,0.7.2,16,9,35,17,52,9,FALSE
bcrypt,0.7.2,0.7.3,17,7,20,17,37,7,FALSE
bcrypt,0.7.3,0.7.4,18,4,5,9,14,4,FALSE
bcrypt,0.7.4,0.7.5,19,2,37,7,44,5,FALSE
bcrypt,0.7.5,0.7.6,20,9,108,79,187,11,FALSE
bcrypt,0.7.6,0.7.7,21,5,54,73,127,5,FALSE
bcrypt,0.7.7,0.7.8,22,25,208,523,731,37,FALSE
bcrypt,0.7.8,0.8.0,23,14,388,438,826,19,FALSE
bcrypt,0.8.0,0.8.1,24,15,79,70,149,17,FALSE
bcrypt,0.8.1,0.8.2,25,10,34,11,45,12,FALSE
bcrypt,0.8.2,0.8.3,26,11,33,10,43,12,FALSE
bcrypt,0.8.3,0.8.4,27,10,24,27,51,11,FALSE
bcrypt,0.8.4,0.8.5,28,4,247,223,470,9,FALSE
bcrypt,0.8.5,0.8.6,29,13,134,90,224,13,FALSE
bcrypt,0.8.6,0.8.7,30,5,23,2,25,5,FALSE
bcrypt,0.8.7,1.0.0,31,12,377,27,404,19,FALSE
bcrypt,1.0.0,1.0.1,32,3,16,12,28,4,FALSE
bcrypt,1.0.1,1.0.2,33,5,78,15,93,10,FALSE
benchmark,0.1.337,0.1.338,1,1,1967,763,2730,4,TRUE
benchmark,0.1.338,0.1.339,2,13,447,303,750,21,FALSE
benchmark,0.1.339,0.1.340,3,31,1586,1388,2974,67,FALSE
benchmark,0.1.340,0.1.341,4,19,1629,1008,2637,39,FALSE
benchmark,0.1.341,0.1.342,5,11,637,959,1596,31,FALSE
benchmark,0.1.342,0.1.343,6,25,1365,1278,2643,45,FALSE
benchmark,0.1.343,0.1.344,7,22,1390,1082,2472,38,FALSE
benchmark,0.1.344,0.1.345,8,6,294,290,584,13,FALSE
benchmark,0.1.345,0.1.346,9,9,356,298,654,19,FALSE
benchmark,0.1.346,0.1.347,10,9,539,425,964,18,FALSE
benchmark,0.1.347,0.1.348,11,5,20,11,31,7,FALSE
benchmark,0.1.348,0.1.349,12,7,240,182,422,13,FALSE
benchmark,0.1.349,0.2.0,13,7,566,246,812,15,FALSE
benchmark,0.2.0,0.2.1,14,6,70,46,116,9,FALSE
benchmark,0.2.1,0.2.2,15,45,6017,7167,13184,110,FALSE
benchmark,0.2.2,0.3.0,16,185,9434,6738,16172,355,FALSE
benchmark,0.3.0,1.0.0,17,138,23311,11490,34801,376,FALSE
benchmark,1.0.0,2.0.0,18,276,32269,43576,75845,567,FALSE
benchmark,2.0.0,2.1.0,19,13,807,1190,1997,27,FALSE
benchmark,2.1.0,2.1.1,20,17,47,69,116,18,FALSE
benchmark,2.1.1,2.1.2,21,24,1228,411,1639,34,FALSE
benchmark,2.1.2,2.1.3,22,11,353,318,671,15,FALSE
benchmark,2.1.3,2.1.4,23,5,204,237,441,9,FALSE
broccoli-static-compiler,0.1.4,0.2.0,1,8,64,27,91,15,FALSE
broccoli-static-compiler,0.2.0,0.2.1,2,4,337,1,338,21,FALSE
broccoli-static-compiler,0.2.1,0.2.2,3,4,11,1,12,5,FALSE
camelcase,1.0.0,1.0.1,1,2,9,2,11,3,TRUE
camelcase,1.0.1,1.0.2,2,3,9,5,14,5,FALSE
camelcase,1.0.2,1.1.0,3,4,17,2,19,5,FALSE
camelcase,1.1.0,1.2.0,4,3,27,5,32,7,FALSE
camelcase,1.2.0,1.2.1,5,2,12,1,13,3,FALSE
camelcase,1.2.1,2.0.0,6,8,103,122,225,15,FALSE
camelcase,2.0.0,2.0.1,7,3,17,7,24,5,FALSE
camelcase,2.0.1,2.1.0,8,5,32,5,37,6,FALSE
camelcase,2.1.0,2.1.1,9,2,10,2,12,4,FALSE
camelcase,2.1.1,3.0.0,10,3,4,4,8,4,FALSE
